iter	Passed	Remaining
349	29500	393875
350	29583	393770
351	29665	393653
352	29749	393573
353	29831	393450
354	29913	393343
355	29995	393226
356	30079	393136
357	30163	393050
358	30249	392992
359	30333	392899
360	30418	392827
361	30502	392743
362	30586	392651
363	30671	392575
364	30753	392466
365	30835	392354
366	30918	392256
367	31000	392138
368	31083	392038
369	31165	391924
370	31246	391804
371	31329	391708
372	31412	391598
373	31494	391495
374	31578	391407
375	31660	391295
376	31744	391210
377	31825	391077
378	31909	390996
379	31992	390900
380	32077	390822
381	32161	390742
382	32245	390648
383	32327	390538
384	32410	390446
385	32492	390333
386	32574	390221
387	32656	390114
388	32740	390020
389	32821	389903
390	32904	389801
391	32987	389703
392	33068	389583
393	33150	389479
394	33233	389374
395	33316	389281
396	33399	389181
397	33481	389073
398	33565	388991
399	33650	388912
400	33733	388817
401	33815	388706
402	33898	388618
403	33980	388509
404	34063	388409
405	34144	388289
406	34226	388184
407	34310	388092
408	34394	388011
409	34476	387902
410	34559	387810
411	34639	387677
412	34721	387570
413	34804	387477
414	34888	387387
415	34973	387311
416	35056	387214
417	35138	387108
418	35222	387024
419	35307	386952
420	35391	386867
421	35474	386768
422	35556	386669
423	35639	386568
424	35721	386459
425	35804	386369
426	35887	386271
427	35970	386174
428	36052	386073
429	36134	385968
430	36218	385886
431	36303	385812
432	36385	385705
433	36467	385600
434	36548	385481
435	36629	385366
436	36712	385273
437	36795	385180
438	36880	385106
439	36964	385021
440	37048	384937
441	37132	384847
442	37216	384764
443	37301	384692
444	37383	384591
445	37465	384485
446	37549	384398
447	37632	384307
448	37716	384221
449	37799	384124
450	37881	384022
451	37962	383910
452	38046	383828
453	38133	383775
454	38222	383738
455	38306	383651
456	38387	383539
457	38470	383442
458	38556	383382
459	38643	383327
460	38731	383284
461	38821	383257
462	38905	383173
463	38990	383100
464	39074	383017
465	39159	382936
466	39242	382848
467	39325	382752
468	39412	382692
469	39500	382652
470	39584	382561
471	39669	382490
472	39752	382396
473	39834	382297
474	39918	382206
475	39999	382098
476	40085	382029
477	40169	381950
478	40254	381873
479	40340	381803
480	40422	381705
481	40506	381619
482	40589	381524
483	40672	381435
484	40754	381325
485	40836	381222
486	40924	381179
487	41013	381140
488	41100	381079
489	41189	381042
490	41279	381013
491	41364	380942
492	41454	380911
493	41536	380809
494	41621	380730
495	41706	380654
496	41791	380577
497	41876	380502
498	41958	380404
499	42043	380325
500	42127	380237
501	42211	380154
502	42293	380056
503	42376	379957
504	42458	379855
505	42542	379771
506	42625	379679
507	42707	379579
508	42790	379481
509	42872	379383
510	42957	379300
511	43040	379207
512	43123	379117
513	43205	379011
514	43289	378929
515	43374	378853
516	43459	378780
517	43544	378703
518	43625	378591
519	43710	378512
520	43795	378437
521	43878	378346
522	43960	378242
523	44042	378144
524	44126	378059
525	44208	377961
526	44291	377866
527	44376	377791
528	44460	377702
529	44542	377606
530	44626	377517
531	44707	377412
532	44789	377307
533	44874	377227
534	44958	377147
535	45045	377088
536	45130	377012
537	45212	376912
538	45293	376802
539	45376	376707
540	45458	376604
541	45539	376502
542	45623	376414
543	45705	376315
544	45789	376226
545	45873	376147
546	45958	376072
547	46041	375976
548	46123	375876
549	46206	375788
550	46287	375678
551	46376	375631
552	46464	375580
553	46551	375523
554	46640	375476
555	46724	375393
556	46812	375337
557	46895	375249
558	46980	375172
559	47064	375087
560	47149	375013
561	47233	374923
562	47315	374829
563	47399	374743
564	47482	374650
565	47565	374557
566	47649	374470
567	47736	374411
568	47822	374342
569	47906	374259
570	47993	374195
571	48080	374139
572	48169	374092
573	48265	374102
574	48363	374122
575	48451	374066
576	48538	374010
577	48629	373978
578	48716	373917
579	48813	373931
580	48902	373884
581	48989	373821
582	49077	373766
583	49163	373693
584	49255	373667
585	49345	373628
586	49430	373552
587	49524	373537
588	49610	373465
589	49702	373444
590	49800	373463
591	49893	373446
592	49987	373432
593	50078	373395
594	50165	373328
595	50255	373289
596	50344	373244
597	50433	373194
598	50523	373147
599	50617	373136
600	50705	373075
601	50790	372999
602	50877	372931
603	50965	372876
604	51053	372818
605	51138	372733
606	51222	372652
607	51306	372562
608	51393	372499
609	51482	372445
610	51574	372417
611	51665	372380
612	51753	372320
613	51839	372245
614	51929	372202
615	52018	372148
616	52108	372107
617	52195	372040
618	52282	371975
619	52367	371891
620	52454	371829
621	52536	371726
622	52622	371648
623	52708	371578
624	52794	371507
625	52880	371427
626	52966	371355
627	53054	371295
628	53150	371289
629	53242	371257
630	53333	371223
631	53426	371195
632	53518	371161
633	53605	371092
634	53690	371012
635	53774	370926
636	53868	370904
637	53956	370846
638	54047	370803
639	54136	370748
640	54223	370685
641	54316	370652
642	54410	370632
643	54498	370570
644	54584	370500
645	54671	370427
646	54755	370340
647	54841	370264
648	54925	370176
649	55009	370085
650	55093	369997
651	55178	369915
652	55262	369825
653	55345	369732
654	55428	369635
655	55511	369540
656	55594	369446
657	55676	369346
658	55759	369245
659	55843	369158
660	55925	369059
661	56010	368974
662	56094	368884
663	56177	368793
664	56260	368693
665	56341	368588
666	56425	368497
667	56506	368393
668	56592	368316
669	56675	368224
670	56761	368144
671	56844	368054
672	56926	367950
673	57008	367847
674	57091	367752
675	57174	367661
676	57255	367553
677	57338	367457
678	57421	367359
679	57502	367257
680	57585	367158
681	57667	367057
682	57749	366960
683	57833	366870
684	57917	366783
685	58001	366693
686	58085	366607
687	58172	366536
688	58254	366437
689	58340	366361
690	58424	366274
691	58509	366191
692	58592	366096
693	58676	366007
694	58757	365904
695	58837	365791
696	58920	365694
697	59002	365593
698	59084	365493
699	59167	365403
700	59250	365308
701	59331	365199
702	59415	365114
703	59500	365032
704	59585	364948
705	59669	364862
706	59754	364780
707	59836	364684
708	59921	364600
709	60005	364513
710	60088	364419
711	60171	364322
712	60253	364223
713	60338	364143
714	60421	364050
715	60506	363971
716	60589	363875
717	60672	363780
718	60755	363689
719	60838	363594
720	60921	363499
721	61007	363424
722	61090	363329
723	61175	363248
724	61264	363191
725	61346	363093
726	61429	363000
727	61509	362891
728	61592	362794
729	61675	362702
730	61759	362612
731	61839	362504
732	61922	362411
733	62009	362343
734	62094	362261
735	62178	362173
736	62264	362099
737	62348	362009
738	62432	361923
739	62516	361836
740	62600	361748
741	62683	361657
742	62767	361569
743	62852	361484
744	62936	361398
745	63020	361311
746	63103	361217
747	63186	361126
748	63268	361028
749	63351	360935
750	63433	360834
751	63516	360742
